3cpio	0.14.0-1ubuntu1
wget	1.25.0-2ubuntu4.3
wireless-regdb	2026.02.04-0ubuntu1
wireplumber	0.5.13-1ubuntu1
wmctrl	1.07+git20240228.1105759-1build1
wpasupplicant	2:2.11-0ubuntu5
x11-apps	7.7+11build4
x11-common	1:7.7+26ubuntu1
x11-session-utils	7.7+6build3
x11-utils	7.7+7build1
x11-xkb-utils	7.7+9build1
x11-xserver-utils	7.7+11build1
x11proto-dev	2025.1-1
xauth	1:1.1.2-1.1build1
xbitmaps	1.1.1-2.2build1
xcvt	0.1.3-1build1
xdg-user-dirs	0.19-1
xdg-utils	1.2.1-2ubuntu2
xdotool	1:3.20160805.1-5.1build1
xfonts-base	1:1.0.5+nmu1build1
xfonts-encodings	1:1.0.5-0ubuntu3
xfonts-scalable	1:1.0.3-1.3build1
xfonts-utils	1:7.7+7build1
xfsprogs	6.18.0-3
xinit	1.4.2-1build1
xinput	1.6.4-1build2
xkb-data	2.46-2
xml-core	0.19build1
xorg	1:7.7+26ubuntu1
xorg-docs-core	1:1.7.3-1
xorg-sgml-doctools	1:1.11-1.1build1
xorriso	1:1.5.6-1.1ubuntu4
xserver-common	2:21.1.22-1ubuntu1
xserver-xorg	1:7.7+26ubuntu1
xserver-xorg-core	2:21.1.22-1ubuntu1
xserver-xorg-input-all	1:7.7+26ubuntu1
xserver-xorg-input-libinput	1.5.0-1build1
xserver-xorg-input-wacom	1:1.2.3-1ubuntu2
xserver-xorg-legacy	2:21.1.22-1ubuntu1
xserver-xorg-video-all	1:7.7+26ubuntu1
xserver-xorg-video-amdgpu	25.0.0-1
xserver-xorg-video-ati	1:22.0.0-1build2
xserver-xorg-video-fbdev	1:0.5.0-2build3
xserver-xorg-video-intel	2:2.99.917+git20210115-1build2
xserver-xorg-video-nouveau	1:1.0.18-1build1
xserver-xorg-video-nvidia-595	595.84-0ubuntu0.26.04.1
xserver-xorg-video-qxl	0.1.6-1.1build1
xserver-xorg-video-radeon	1:22.0.0-1build2
xserver-xorg-video-vesa	1:2.6.0-2build1
xterm	407-1ubuntu1
xtrans-dev	1.6.0-1build1
xxd	2:9.1.2141-1ubuntu4.7
xz-utils	5.8.3-1
yasm	1.3.0-8
yudit-common	3.1.0-1build1
zip	3.0-15ubuntu3
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
zstd	1.5.7+dfsg-3
